date,time,cash_type,card,price,coffee_name
2024-01-05,17:31,card,ANON-0000-0000-1073,3.282,Hot Chocolate
2024-01-05,11:10,card,ANON-0000-0000-1022,2.382,Americano
2024-01-05,08:56,card,ANON-0000-0000-0223,3.282,Latte
2024-01-05,20:05,card,ANON-0000-0000-0364,2.382,Cortado
2024-01-05,12:30,card,ANON-0000-0000-0897,2.382,Americano
2024-01-05,15:05,card,ANON-0000-0000-0471,2.382,Americano
2024-01-05,09:10,card,ANON-0000-0000-0440,3.282,Latte
2024-01-05,10:01,card,ANON-0000-0000-0314,2.832,Americano with Milk
2024-01-05,16:43,card,ANON-0000-0000-0770,3.282,Latte
2024-01-06,12:50,card,ANON-0000-0000-0342,3.282,Latte
2024-01-06,14:10,card,ANON-0000-0000-1029,2.832,Americano with Milk
2024-01-06,08:23,card,ANON-0000-0000-0304,3.282,Latte
2024-01-06,10:00,card,ANON-0000-0000-0185,2.832,Americano with Milk
2024-01-07,12:46,card,ANON-0000-0000-1187,2.382,Americano
2024-01-07,12:00,card,ANON-0000-0000-0757,2.382,Cortado
2024-01-07,15:47,card,ANON-0000-0000-0153,2.382,Cortado
2024-01-07,19:44,card,ANON-0000-0000-0770,3.282,Cappuccino
2024-01-08,11:38,card,ANON-0000-0000-0485,3.282,Latte
2024-01-08,16:00,card,ANON-0000-0000-0690,2.382,Americano
2024-01-08,10:21,card,ANON-0000-0000-0432,3.282,Latte
2024-01-08,18:06,card,ANON-0000-0000-0478,2.832,Americano with Milk
2024-01-08,10:43,card,ANON-0000-0000-0287,1.812,Espresso
2024-01-08,09:04,card,ANON-0000-0000-0574,3.282,Cappuccino
2024-01-08,10:59,card,ANON-0000-0000-0808,2.382,Americano
2024-01-08,08:15,card,ANON-0000-0000-0742,2.832,Americano with Milk
2024-01-09,10:16,card,ANON-0000-0000-0877,3.282,Latte
2024-01-09,14:12,card,ANON-0000-0000-0270,2.832,Americano with Milk
2024-01-09,09:49,card,ANON-0000-0000-0207,3.282,Latte
2024-01-09,14:22,card,ANON-0000-0000-0222,2.382,Americano
2024-01-09,17:50,card,ANON-0000-0000-0533,2.832,Americano with Milk
2024-01-09,08:13,card,ANON-0000-0000-0115,2.382,Americano
2024-01-09,10:22,card,ANON-0000-0000-1048,2.832,Americano with Milk
2024-01-09,11:37,cash,,3.282,Latte
2024-01-09,11:01,card,ANON-0000-0000-0036,2.832,Americano with Milk
2024-01-09,08:36,card,ANON-0000-0000-0361,3.282,Latte
2024-01-09,13:34,card,ANON-0000-0000-0590,2.382,Cortado
2024-01-10,08:01,card,ANON-0000-0000-0896,2.382,Americano
2024-01-10,08:55,cash,,3.282,Cappuccino
2024-01-10,11:00,card,ANON-0000-0000-0764,3.282,Hot Chocolate
2024-01-10,15:30,cash,,2.382,Cortado
2024-01-10,13:12,card,ANON-0000-0000-0884,1.812,Espresso
2024-01-10,10:40,card,ANON-0000-0000-1042,3.282,Cappuccino
2024-01-11,09:59,card,ANON-0000-0000-0780,3.282,Latte
2024-01-11,09:05,cash,,1.812,Espresso
2024-01-11,08:14,card,ANON-0000-0000-1022,3.282,Latte
2024-01-11,10:29,card,ANON-0000-0000-0862,3.282,Cocoa
2024-01-11,11:53,card,ANON-0000-0000-0751,3.282,Cappuccino
2024-01-11,10:13,card,ANON-0000-0000-0239,2.832,Americano with Milk
2024-01-11,11:03,card,ANON-0000-0000-0917,1.812,Espresso
2024-01-11,08:34,card,ANON-0000-0000-0502,3.282,Latte
2024-01-11,16:36,card,ANON-0000-0000-0505,2.832,Americano with Milk
2024-01-11,12:08,card,ANON-0000-0000-0713,3.282,Latte
2024-01-11,13:19,card,ANON-0000-0000-0514,1.812,Espresso
2024-01-12,08:24,card,ANON-0000-0000-0056,2.832,Americano with Milk
2024-01-12,13:56,card,ANON-0000-0000-0804,3.282,Latte
2024-01-12,17:21,card,ANON-0000-0000-0581,2.382,Americano
2024-01-12,12:23,card,ANON-0000-0000-0747,2.832,Americano with Milk
2024-01-12,13:13,card,ANON-0000-0000-0762,3.282,Cappuccino
2024-01-12,11:20,card,ANON-0000-0000-0650,3.282,Latte
2024-01-12,18:20,card,ANON-0000-0000-0240,2.832,Americano with Milk
2024-01-12,15:50,card,ANON-0000-0000-0927,2.382,Americano
2024-01-12,17:43,card,ANON-0000-0000-0278,3.282,Cocoa
2024-01-13,10:42,card,ANON-0000-0000-0964,2.382,Cortado
2024-01-13,16:08,card,ANON-0000-0000-1045,3.282,Hot Chocolate
2024-01-13,14:44,card,ANON-0000-0000-0489,2.382,Americano
2024-01-13,19:58,card,ANON-0000-0000-0374,1.812,Espresso
2024-01-13,18:24,cash,,2.832,Americano with Milk
2024-01-13,11:01,card,ANON-0000-0000-0853,3.282,Cocoa
2024-01-13,20:13,card,ANON-0000-0000-0542,2.382,Cortado
2024-01-14,15:01,card,ANON-0000-0000-0151,2.832,Americano with Milk
2024-01-14,10:34,card,ANON-0000-0000-0454,3.282,Hot Chocolate
2024-01-14,14:49,card,ANON-0000-0000-0358,2.832,Americano with Milk
2024-01-14,20:58,card,ANON-0000-0000-0833,3.282,Latte
2024-01-14,10:26,card,ANON-0000-0000-0506,2.382,Americano
2024-01-14,16:07,card,ANON-0000-0000-0922,2.832,Americano with Milk
2024-01-14,08:43,card,ANON-0000-0000-0634,2.382,Americano
2024-01-15,10:37,card,ANON-0000-0000-0539,2.382,Americano
2024-01-15,09:05,cash,,1.812,Espresso
2024-01-15,14:04,card,ANON-0000-0000-1091,3.282,Cocoa
2024-01-15,12:31,card,ANON-0000-0000-0971,2.382,Cortado
2024-01-15,11:37,card,ANON-0000-0000-0331,2.382,Americano
2024-01-16,11:53,card,ANON-0000-0000-0885,3.282,Latte
2024-01-16,12:33,card,ANON-0000-0000-0224,2.382,Americano
2024-01-16,13:10,card,ANON-0000-0000-0936,3.282,Cocoa
2024-01-16,13:34,card,ANON-0000-0000-1069,3.282,Latte
2024-01-17,15:59,card,ANON-0000-0000-0916,3.282,Cocoa
2024-01-17,12:46,card,ANON-0000-0000-0737,2.832,Americano with Milk
2024-01-17,09:28,card,ANON-0000-0000-1045,3.282,Latte
2024-01-17,07:08,card,ANON-0000-0000-0531,2.382,Americano
2024-01-17,09:38,card,ANON-0000-0000-0695,2.832,Americano with Milk
2024-01-17,07:40,card,ANON-0000-0000-0163,3.282,Hot Chocolate
2024-01-17,09:55,card,ANON-0000-0000-0829,2.382,Cortado
2024-01-17,09:08,card,ANON-0000-0000-0633,3.282,Hot Chocolate
2024-01-17,09:25,card,ANON-0000-0000-0864,1.812,Espresso
2024-01-17,14:03,card,ANON-0000-0000-0265,3.282,Latte
2024-01-18,14:20,card,ANON-0000-0000-0347,2.832,Americano with Milk
2024-01-18,13:25,card,ANON-0000-0000-1126,2.832,Americano with Milk
2024-01-18,09:53,card,ANON-0000-0000-0330,3.282,Latte
2024-01-18,13:54,card,ANON-0000-0000-0078,2.382,Americano
2024-01-18,09:11,card,ANON-0000-0000-0200,3.282,Latte
2024-01-18,16:13,card,ANON-0000-0000-0655,3.282,Hot Chocolate
2024-01-18,14:04,card,ANON-0000-0000-0268,3.282,Cappuccino
2024-01-18,08:14,card,ANON-0000-0000-0267,2.382,Americano
2024-01-18,09:29,card,ANON-0000-0000-0520,2.382,Americano
2024-01-18,15:00,card,ANON-0000-0000-0772,2.382,Cortado
2024-01-18,20:34,card,ANON-0000-0000-0556,3.282,Hot Chocolate
2024-01-19,10:31,card,ANON-0000-0000-0156,3.282,Hot Chocolate
2024-01-19,13:06,card,ANON-0000-0000-1127,3.282,Latte
2024-01-20,08:13,card,ANON-0000-0000-0107,2.832,Americano with Milk
2024-01-20,08:06,card,ANON-0000-0000-0314,1.812,Espresso
2024-01-20,20:10,cash,,3.282,Latte
2024-01-20,19:21,card,ANON-0000-0000-0067,3.282,Cappuccino
2024-01-21,11:26,card,ANON-0000-0000-1011,1.812,Espresso
2024-01-21,10:11,card,ANON-0000-0000-1116,3.282,Latte
2024-01-21,08:58,card,ANON-0000-0000-0970,3.282,Latte
2024-01-22,09:06,card,ANON-0000-0000-0124,2.832,Americano with Milk
2024-01-22,11:44,card,ANON-0000-0000-1183,3.282,Hot Chocolate
2024-01-22,08:07,card,ANON-0000-0000-0645,2.832,Americano with Milk
2024-01-22,08:15,card,ANON-0000-0000-0578,2.382,Americano
2024-01-22,09:38,card,ANON-0000-0000-0544,2.382,Americano
2024-01-22,16:46,card,ANON-0000-0000-0795,3.282,Latte
2024-01-22,09:42,card,ANON-0000-0000-0913,3.282,Latte
2024-01-23,08:45,card,ANON-0000-0000-0853,2.382,Americano
2024-01-23,15:05,card,ANON-0000-0000-0122,3.282,Cappuccino
2024-01-23,10:18,card,ANON-0000-0000-1136,2.382,Americano
2024-01-23,15:25,card,ANON-0000-0000-1172,2.382,Cortado
2024-01-23,10:14,card,ANON-0000-0000-0162,2.832,Americano with Milk
2024-01-23,12:37,card,ANON-0000-0000-0444,2.832,Americano with Milk
2024-01-23,10:00,card,ANON-0000-0000-0294,2.382,Cortado
2024-01-23,09:53,card,ANON-0000-0000-0214,2.832,Americano with Milk
2024-01-23,12:20,card,ANON-0000-0000-0158,3.282,Latte
2024-01-23,15:24,card,ANON-0000-0000-0198,2.382,Cortado
2024-01-23,14:50,card,ANON-0000-0000-0320,2.382,Cortado
2024-01-23,12:16,card,ANON-0000-0000-0155,3.282,Latte
2024-01-24,09:33,card,ANON-0000-0000-0262,3.282,Hot Chocolate
2024-01-24,16:10,card,ANON-0000-0000-0829,3.282,Cappuccino
2024-01-24,11:50,card,ANON-0000-0000-0259,2.382,Americano
2024-01-24,15:25,card,ANON-0000-0000-0549,1.812,Espresso
2024-01-24,14:55,card,ANON-0000-0000-0086,2.382,Americano
2024-01-24,14:44,card,ANON-0000-0000-0384,3.282,Latte
2024-01-24,10:30,card,ANON-0000-0000-0963,3.282,Cappuccino
2024-01-24,15:56,card,ANON-0000-0000-0342,2.382,Americano
2024-01-24,08:40,card,ANON-0000-0000-0944,2.382,Americano
2024-01-25,15:50,card,ANON-0000-0000-0106,2.832,Americano with Milk
2024-01-25,08:20,card,ANON-0000-0000-0977,3.282,Latte
2024-01-25,07:04,card,ANON-0000-0000-0903,2.832,Americano with Milk
2024-01-25,16:20,card,ANON-0000-0000-0738,1.812,Espresso
2024-01-25,13:05,card,ANON-0000-0000-0498,3.282,Latte
2024-01-25,13:09,card,ANON-0000-0000-0047,3.282,Latte
2024-01-25,09:05,card,ANON-0000-0000-0743,2.832,Americano with Milk
2024-01-25,09:39,card,ANON-0000-0000-0808,3.282,Latte
2024-01-25,19:02,card,ANON-0000-0000-0891,3.282,Cappuccino
2024-01-25,11:24,card,ANON-0000-0000-0631,3.282,Cocoa
2024-01-26,20:51,card,ANON-0000-0000-0219,3.282,Cappuccino
2024-01-26,11:19,card,ANON-0000-0000-0227,2.382,Cortado
2024-01-26,08:32,card,ANON-0000-0000-1138,3.282,Cocoa
2024-01-26,18:38,card,ANON-0000-0000-1163,2.832,Americano with Milk
2024-01-26,08:37,card,ANON-0000-0000-0582,3.282,Latte
2024-01-26,18:58,card,ANON-0000-0000-1156,2.832,Americano with Milk
2024-01-26,14:45,card,ANON-0000-0000-0074,2.382,Americano
2024-01-27,15:34,card,ANON-0000-0000-0190,1.812,Espresso
2024-01-27,08:52,card,ANON-0000-0000-0210,2.832,Americano with Milk
2024-01-27,17:41,card,ANON-0000-0000-0766,2.832,Americano with Milk
2024-01-28,17:23,card,ANON-0000-0000-0349,3.282,Cocoa
2024-01-28,14:56,card,ANON-0000-0000-0717,3.282,Latte
2024-01-28,20:40,card,ANON-0000-0000-0515,3.282,Cocoa
2024-01-28,13:02,card,ANON-0000-0000-0799,3.282,Cocoa
2024-01-29,10:55,card,ANON-0000-0000-0714,3.282,Hot Chocolate
2024-01-29,08:31,card,ANON-0000-0000-1178,3.282,Hot Chocolate
2024-01-29,18:17,cash,,3.282,Latte
2024-01-29,18:45,card,ANON-0000-0000-0479,3.282,Latte
2024-01-29,19:39,card,ANON-0000-0000-1074,3.282,Hot Chocolate
2024-01-29,08:43,card,ANON-0000-0000-0525,3.282,Latte
2024-01-29,08:52,card,ANON-0000-0000-0768,3.282,Hot Chocolate
2024-01-29,07:30,card,ANON-0000-0000-0944,2.832,Americano with Milk
2024-01-29,09:11,card,ANON-0000-0000-1070,2.832,Americano with Milk
2024-01-29,12:51,cash,,2.382,Cortado
2024-01-29,08:42,card,ANON-0000-0000-0108,1.812,Espresso
2024-01-29,17:00,card,ANON-0000-0000-0800,3.282,Latte
2024-01-29,16:15,card,ANON-0000-0000-0285,3.282,Cappuccino
2024-01-29,08:37,card,ANON-0000-0000-0695,2.832,Americano with Milk
2024-01-29,08:26,card,ANON-0000-0000-0432,3.282,Hot Chocolate
2024-01-30,09:35,card,ANON-0000-0000-0876,3.282,Cappuccino
2024-01-30,15:52,card,ANON-0000-0000-1140,2.382,Americano
2024-01-30,08:04,card,ANON-0000-0000-0745,3.282,Hot Chocolate
2024-01-30,16:39,card,ANON-0000-0000-0316,3.282,Hot Chocolate
2024-01-30,12:28,card,ANON-0000-0000-0081,2.382,Americano
2024-01-30,14:44,card,ANON-0000-0000-1001,2.382,Americano
2024-01-30,11:39,card,ANON-0000-0000-0796,3.282,Cappuccino
2024-01-30,08:12,card,ANON-0000-0000-1055,3.282,Cocoa
2024-01-30,08:58,card,ANON-0000-0000-0394,1.812,Espresso
2024-01-30,18:10,cash,,2.832,Americano with Milk
2024-01-30,17:23,card,ANON-0000-0000-0744,1.812,Espresso
2024-01-30,10:39,card,ANON-0000-0000-0771,2.832,Americano with Milk
2024-01-30,14:47,cash,,3.282,Latte
2024-01-31,19:08,card,ANON-0000-0000-0199,2.382,Americano
2024-01-31,16:47,card,ANON-0000-0000-0341,2.382,Cortado
2024-01-31,13:42,cash,,3.282,Latte
2024-01-31,14:31,card,ANON-0000-0000-1002,2.832,Americano with Milk
2024-01-31,17:11,cash,,3.282,Cappuccino
2024-01-31,13:50,card,ANON-0000-0000-0328,3.282,Latte
2024-01-31,11:51,card,ANON-0000-0000-0298,2.832,Americano with Milk
2024-01-31,08:42,card,ANON-0000-0000-1199,3.282,Latte
2024-01-31,09:48,card,ANON-0000-0000-0409,2.832,Americano with Milk
2024-01-31,15:16,card,ANON-0000-0000-1157,1.812,Espresso
2024-01-31,12:26,card,ANON-0000-0000-0272,2.832,Americano with Milk
2024-01-31,13:31,card,ANON-0000-0000-0849,3.282,Cappuccino
2024-02-01,19:01,card,ANON-0000-0000-0062,2.382,Americano
2024-02-01,14:58,card,ANON-0000-0000-1199,3.282,Latte
2024-02-01,08:37,card,ANON-0000-0000-0541,2.832,Americano with Milk
2024-02-01,11:40,card,ANON-0000-0000-0014,2.382,Cortado
2024-02-01,09:49,card,ANON-0000-0000-1000,1.812,Espresso
2024-02-01,15:38,card,ANON-0000-0000-0941,1.812,Espresso
2024-02-01,14:48,card,ANON-0000-0000-1115,3.282,Latte
2024-02-01,14:48,card,ANON-0000-0000-1000,2.382,Americano
2024-02-01,10:20,card,ANON-0000-0000-1095,3.282,Cappuccino
2024-02-01,09:34,card,ANON-0000-0000-1136,2.382,Americano
2024-02-01,16:23,card,ANON-0000-0000-0003,2.382,Cortado
2024-02-01,09:43,card,ANON-0000-0000-0331,2.382,Americano
2024-02-01,08:02,card,ANON-0000-0000-0808,1.812,Espresso
2024-02-02,10:23,card,ANON-0000-0000-0798,3.282,Cappuccino
2024-02-02,18:40,card,ANON-0000-0000-0552,3.282,Latte
2024-02-02,17:42,card,ANON-0000-0000-0333,3.282,Hot Chocolate
2024-02-02,18:00,card,ANON-0000-0000-0749,3.282,Cappuccino
2024-02-02,10:58,card,ANON-0000-0000-0297,1.812,Espresso
2024-02-02,10:04,card,ANON-0000-0000-0634,3.282,Cappuccino
2024-02-02,09:48,card,ANON-0000-0000-0963,3.282,Cocoa
2024-02-02,12:24,card,ANON-0000-0000-0070,2.382,Americano
2024-02-02,09:37,card,ANON-0000-0000-0215,3.282,Hot Chocolate
2024-02-03,19:41,card,ANON-0000-0000-0054,2.832,Americano with Milk
2024-02-03,11:06,card,ANON-0000-0000-0343,3.282,Hot Chocolate
2024-02-03,08:09,card,ANON-0000-0000-0870,3.282,Latte
2024-02-03,10:17,card,ANON-0000-0000-0322,2.382,Americano
2024-02-03,08:15,card,ANON-0000-0000-0026,3.282,Latte
2024-02-03,10:50,card,ANON-0000-0000-0903,3.282,Hot Chocolate
2024-02-03,09:39,card,ANON-0000-0000-0426,3.282,Latte
2024-02-04,13:57,card,ANON-0000-0000-0831,2.382,Americano
2024-02-04,10:38,card,ANON-0000-0000-0444,2.382,Americano
2024-02-04,09:54,card,ANON-0000-0000-0945,2.832,Americano with Milk
2024-02-04,10:59,cash,,2.832,Americano with Milk
2024-02-04,14:03,card,ANON-0000-0000-1070,2.382,Americano
2024-02-05,16:00,cash,,3.282,Latte
2024-02-05,10:30,cash,,2.382,Cortado
2024-02-05,08:03,card,ANON-0000-0000-0860,2.382,Cortado
2024-02-05,18:53,card,ANON-0000-0000-0636,2.382,Americano
2024-02-05,08:48,card,ANON-0000-0000-0659,2.832,Americano with Milk
2024-02-05,08:45,card,ANON-0000-0000-0145,3.282,Cappuccino
2024-02-05,11:02,card,ANON-0000-0000-0964,3.282,Latte
2024-02-05,10:35,card,ANON-0000-0000-0193,2.832,Americano with Milk
2024-02-05,08:51,card,ANON-0000-0000-0200,3.282,Cocoa
2024-02-05,07:04,card,ANON-0000-0000-0463,3.282,Cappuccino
2024-02-05,09:55,card,ANON-0000-0000-0596,2.382,Americano
2024-02-06,08:05,card,ANON-0000-0000-0422,2.382,Cortado
2024-02-06,17:12,card,ANON-0000-0000-0692,1.812,Espresso
2024-02-06,10:45,card,ANON-0000-0000-0441,2.382,Cortado
2024-02-06,07:01,card,ANON-0000-0000-0839,3.282,Latte
2024-02-06,13:02,card,ANON-0000-0000-0614,2.832,Americano with Milk
2024-02-06,08:13,card,ANON-0000-0000-1023,2.382,Americano
2024-02-06,07:47,card,ANON-0000-0000-0794,2.832,Americano with Milk
2024-02-07,12:59,card,ANON-0000-0000-0051,2.382,Americano
2024-02-07,15:31,card,ANON-0000-0000-0888,3.282,Cappuccino
2024-02-07,11:01,card,ANON-0000-0000-0891,2.382,Americano
2024-02-07,14:34,card,ANON-0000-0000-0630,1.812,Espresso
2024-02-07,08:42,card,ANON-0000-0000-0012,2.832,Americano with Milk
2024-02-07,11:59,card,ANON-0000-0000-1198,2.382,Cortado
2024-02-07,16:23,card,ANON-0000-0000-0259,3.282,Latte
2024-02-07,10:29,card,ANON-0000-0000-0603,2.832,Americano with Milk
2024-02-08,07:09,card,ANON-0000-0000-0118,3.282,Latte
2024-02-08,15:48,card,ANON-0000-0000-0824,3.282,Hot Chocolate
2024-02-08,08:42,card,ANON-0000-0000-0924,2.382,Cortado
2024-02-09,08:18,card,ANON-0000-0000-1017,2.832,Americano with Milk
2024-02-09,15:29,card,ANON-0000-0000-0840,2.382,Americano
2024-02-09,11:40,card,ANON-0000-0000-1186,3.282,Latte
2024-02-09,09:30,card,ANON-0000-0000-0042,3.282,Latte
2024-02-09,08:45,card,ANON-0000-0000-0168,2.382,Americano
2024-02-09,12:20,card,ANON-0000-0000-1146,3.282,Latte
2024-02-09,10:29,card,ANON-0000-0000-0405,3.282,Hot Chocolate
2024-02-09,13:18,card,ANON-0000-0000-0971,3.282,Hot Chocolate
2024-02-10,08:03,card,ANON-0000-0000-0476,1.812,Espresso
2024-02-10,09:29,card,ANON-0000-0000-1031,2.832,Americano with Milk
2024-02-10,13:12,card,ANON-0000-0000-0322,2.382,Cortado
2024-02-10,17:29,card,ANON-0000-0000-0904,2.382,Americano
2024-02-10,07:17,card,ANON-0000-0000-0775,3.282,Latte
2024-02-11,07:53,card,ANON-0000-0000-0038,2.832,Americano with Milk
2024-02-11,18:33,card,ANON-0000-0000-0120,2.832,Americano with Milk
2024-02-11,08:03,card,ANON-0000-0000-0388,3.282,Latte
2024-02-11,15:20,card,ANON-0000-0000-1131,1.812,Espresso
2024-02-11,18:55,card,ANON-0000-0000-0948,3.282,Latte
2024-02-11,10:09,card,ANON-0000-0000-0875,2.832,Americano with Milk
2024-02-11,20:52,card,ANON-0000-0000-0088,2.382,Cortado
2024-02-11,08:25,card,ANON-0000-0000-1024,2.382,Americano
2024-02-12,11:18,card,ANON-0000-0000-1123,3.282,Latte
2024-02-12,08:53,card,ANON-0000-0000-1197,2.832,Americano with Milk
2024-02-12,08:58,card,ANON-0000-0000-0013,3.282,Cocoa
2024-02-12,17:44,card,ANON-0000-0000-0962,2.832,Americano with Milk
2024-02-12,11:44,card,ANON-0000-0000-0097,3.282,Latte
2024-02-12,11:02,card,ANON-0000-0000-0592,3.282,Hot Chocolate
2024-02-12,14:18,card,ANON-0000-0000-1068,3.282,Latte
2024-02-12,14:47,card,ANON-0000-0000-1020,2.382,Cortado
2024-02-12,19:56,card,ANON-0000-0000-0133,2.832,Americano with Milk
2024-02-12,12:29,card,ANON-0000-0000-0567,3.282,Latte
2024-02-12,08:30,card,ANON-0000-0000-0856,3.282,Latte
2024-02-12,10:01,card,ANON-0000-0000-1168,2.382,Cortado
2024-02-12,12:17,card,ANON-0000-0000-0415,3.282,Cappuccino
2024-02-13,10:50,cash,,3.282,Cocoa
2024-02-13,15:37,card,ANON-0000-0000-1188,2.832,Americano with Milk
2024-02-13,18:58,card,ANON-0000-0000-0995,3.282,Latte
2024-02-13,09:02,card,ANON-0000-0000-0321,3.282,Cocoa
2024-02-13,11:53,card,ANON-0000-0000-1065,2.382,Americano
2024-02-13,09:41,card,ANON-0000-0000-0094,2.832,Americano with Milk
2024-02-13,14:38,card,ANON-0000-0000-0329,3.282,Cappuccino
2024-02-13,11:11,card,ANON-0000-0000-0580,2.382,Americano
2024-02-13,15:03,card,ANON-0000-0000-0611,3.282,Latte
2024-02-13,13:17,card,ANON-0000-0000-0229,2.832,Americano with Milk
2024-02-13,09:54,card,ANON-0000-0000-0053,3.282,Latte
2024-02-13,13:41,card,ANON-0000-0000-1020,3.282,Latte
2024-02-13,13:57,card,ANON-0000-0000-0026,1.812,Espresso
2024-02-14,10:48,card,ANON-0000-0000-1132,2.832,Americano with Milk
2024-02-14,07:51,card,ANON-0000-0000-0469,2.832,Americano with Milk
2024-02-14,09:03,card,ANON-0000-0000-0412,2.832,Americano with Milk
2024-02-14,08:42,cash,,2.832,Americano with Milk
2024-02-14,18:57,card,ANON-0000-0000-0319,1.812,Espresso
2024-02-14,14:53,card,ANON-0000-0000-0164,2.382,Cortado
2024-02-14,20:29,card,ANON-0000-0000-0012,3.282,Latte
2024-02-14,08:31,card,ANON-0000-0000-0348,2.382,Americano
2024-02-14,12:26,card,ANON-0000-0000-1102,2.382,Cortado
2024-02-14,10:48,card,ANON-0000-0000-0562,2.382,Americano
2024-02-15,11:30,card,ANON-0000-0000-0938,3.282,Cocoa
2024-02-15,09:08,card,ANON-0000-0000-0834,3.282,Latte
2024-02-15,18:38,card,ANON-0000-0000-0479,2.832,Americano with Milk
2024-02-15,13:13,card,ANON-0000-0000-0633,3.282,Latte
2024-02-15,08:13,card,ANON-0000-0000-1021,3.282,Latte
2024-02-15,17:59,card,ANON-0000-0000-0399,3.282,Latte
2024-02-15,10:09,card,ANON-0000-0000-0489,2.832,Americano with Milk
2024-02-15,09:17,card,ANON-0000-0000-0464,2.382,Cortado
2024-02-15,19:27,card,ANON-0000-0000-0229,2.382,Americano
2024-02-15,10:03,card,ANON-0000-0000-1157,2.382,Americano
2024-02-16,10:52,card,ANON-0000-0000-0915,2.382,Americano
2024-02-16,15:00,card,ANON-0000-0000-1002,3.282,Latte
2024-02-16,09:18,card,ANON-0000-0000-0964,3.282,Cappuccino
2024-02-16,19:55,card,ANON-0000-0000-1069,2.832,Americano with Milk
2024-02-16,11:17,card,ANON-0000-0000-0914,2.832,Americano with Milk
2024-02-16,15:34,card,ANON-0000-0000-0099,1.812,Espresso
2024-02-16,13:20,card,ANON-0000-0000-1017,2.382,Americano
2024-02-16,09:39,card,ANON-0000-0000-0333,3.282,Cappuccino
2024-02-17,14:08,card,ANON-0000-0000-0073,2.382,Americano
2024-02-17,09:52,card,ANON-0000-0000-0467,1.812,Espresso
2024-02-17,16:57,card,ANON-0000-0000-0401,2.382,Cortado
2024-02-17,15:15,card,ANON-0000-0000-0103,2.832,Americano with Milk
2024-02-18,13:23,card,ANON-0000-0000-0860,2.832,Americano with Milk
2024-02-18,19:34,card,ANON-0000-0000-0790,3.282,Latte
2024-02-18,15:40,card,ANON-0000-0000-0100,3.282,Latte
2024-02-18,14:03,cash,,3.282,Latte
2024-02-18,11:20,card,ANON-0000-0000-0192,3.282,Latte
2024-02-18,15:18,card,ANON-0000-0000-0409,2.382,Americano
2024-02-19,10:15,card,ANON-0000-0000-0489,3.282,Hot Chocolate
2024-02-19,20:30,card,ANON-0000-0000-1054,3.282,Cocoa
